name,place,word
Northland Church of Christ Child Care,Columbus,christ
Northland Church of Christ Child Care,Columbus,child
Northland Church of Christ Child Care,Columbus,care
King Avenue United Methodist Church,Columbus,king
King Avenue United Methodist Church,Columbus,avenue
King Avenue United Methodist Church,Columbus,united
King Avenue United Methodist Church,Columbus,methodist
King Avenue United Methodist Church,Columbus,church
Torah Center,Columbus,torah
Torah Center,Columbus,center
Karl Rd Baptist Church,Columbus,karl
Karl Rd Baptist Church,Columbus,rd
Karl Rd Baptist Church,Columbus,baptist
Karl Rd Baptist Church,Columbus,church
Broad Street United Methodist,Columbus,broad
Broad Street United Methodist,Columbus,street
Broad Street United Methodist,Columbus,united
Broad Street United Methodist,Columbus,methodist
United Methodist Church For All People,Columbus,united
United Methodist Church For All People,Columbus,methodist
United Methodist Church For All People,Columbus,church
United Methodist Church For All People,Columbus,for
United Methodist Church For All People,Columbus,all
United Methodist Church For All People,Columbus,people
Maple Grove United Methodist Church,Columbus,maple
Maple Grove United Methodist Church,Columbus,grove
Maple Grove United Methodist Church,Columbus,united
Maple Grove United Methodist Church,Columbus,methodist
Maple Grove United Methodist Church,Columbus,church
Gethsemane Lutheran Church,Columbus,gethsemane
Gethsemane Lutheran Church,Columbus,lutheran
Gethsemane Lutheran Church,Columbus,church
Veritas Community Church,Columbus,veritas
Veritas Community Church,Columbus,community
Veritas Community Church,Columbus,church
First Unitarian Universalist Church,Columbus,first
First Unitarian Universalist Church,Columbus,unitarian
First Unitarian Universalist Church,Columbus,universalist
First Unitarian Universalist Church,Columbus,church
Stonybrook Early Learning Center,Columbus,stonybrook
Stonybrook Early Learning Center,Columbus,early
Stonybrook Early Learning Center,Columbus,learning
Stonybrook Early Learning Center,Columbus,center
Agathos | Non-Denominational Christian Church,Columbus,agathos
Agathos | Non-Denominational Christian Church,Columbus,non
Agathos | Non-Denominational Christian Church,Columbus,denominational
Agathos | Non-Denominational Christian Church,Columbus,christian
Agathos | Non-Denominational Christian Church,Columbus,church
Beth Jacob Synagogue,Columbus,beth
Beth Jacob Synagogue,Columbus,jacob
Beth Jacob Synagogue,Columbus,synagogue
The Depot,Columbus,the
The Depot,Columbus,depot
Trinity Lutheran Seminary,Columbus,trinity
Trinity Lutheran Seminary,Columbus,lutheran
Trinity Lutheran Seminary,Columbus,seminary
Ascension Lutheran Church,Columbus,ascension
Ascension Lutheran Church,Columbus,lutheran
Ascension Lutheran Church,Columbus,church
School For Young Children,Columbus,school
School For Young Children,Columbus,for
School For Young Children,Columbus,young
School For Young Children,Columbus,children
Holy Family Church,Columbus,holy
Holy Family Church,Columbus,family
Holy Family Church,Columbus,church
Gates Fourth United,Columbus,gates
Gates Fourth United,Columbus,fourth
Gates Fourth United,Columbus,united
Karl Road Christian Church,Columbus,karl
Karl Road Christian Church,Columbus,road
Karl Road Christian Church,Columbus,christian
Karl Road Christian Church,Columbus,church
